descricao_produto;cod_prod;subgrupo;CB_DIEESE;CB_ACT;CB_MDS;Alim_desc1;Alim_desc2;IS_UPP;IS;IBS/CBS - 25% - Tax Burden;IBS/CBS - 25% - % General Tax Regime;IBS/CBS - 25% Impacts;IBS/CBS - 25% Value;IBS/CBS - 25% - % Simples Tax Regime;IBS/CBS - 25% Simples Impacts;IBS/CBS - 25% Simples Value;IBS/CBS - 26.9% - Tax Burden;IBS/CBS - 26.9% - % General Tax Regime;IBS/CBS - 26.9% Impacts;IBS/CBS - 26.9% Value;IBS/CBS - 26.9% - % Simples Tax Regime;IBS/CBS - 26.9% Simples Impacts;IBS/CBS - 26.9% Simples Value
ABACATE;6802701;Outras frutas;0;1;1;1;0;0;0;0.066169971;0.903132791;0.133907929;31970965.02;0.096867209;0.122005556;3393111.539;0.066169971;0.903132791;0.15114333;32456923.69;0.096867209;0.136140333;3435857.205
ABACAXI;6802601;Outras frutas;0;1;1;1;0;0;0;0.066169971;0.903132791;0.133907929;50638431.71;0.096867209;0.122005556;5374309.059;0.066169971;0.903132791;0.15114333;51408135.88;0.096867209;0.136140333;5442013.412
ABACAXI CAIANO;6802603;Outras frutas;0;1;1;1;0;0;0;0.066169971;0.903132791;0.133907929;313331.4106;0.096867209;0.122005556;33254.18623;0.066169971;0.903132791;0.15114333;318094.0481;0.096867209;0.136140333;33673.11509
ABACAXI DESIDRATADO;6902419;Demais alimentos;0;0;0;0;0;0;0;0.301670591;0.903132791;-0.129792374;45189.57022;0.096867209;0.058449145;5895.362275;0.301670591;0.903132791;-0.116565218;45876.45169;0.096867209;0.069646513;5957.729503
ABACAXI EM CALDA;6901306;Demais alimentos;0;0;0;0;1;0;0;0.281445614;0.903132791;-0.109531079;578001.5968;0.096867209;0.037576966;72236.34603;0.281445614;0.903132791;-0.095995952;586787.221;0.096867209;0.048463966;72994.30141
ABACAXI ORGANICO;6810301;Outras frutas;0;1;1;1;0;0;0;0.066169971;0.903132791;0.133907929;48573.42662;0.096867209;0.122005556;5155.147936;0.066169971;0.903132791;0.15114333;49311.7427;0.096867209;0.136140333;5220.091345
ABACAXI PEROLA;6802604;Outras frutas;0;1;1;1;0;0;0;0.066169971;0.903132791;0.133907929;8619298.869;0.096867209;0.122005556;914775.0913;0.066169971;0.903132791;0.15114333;8750312.212;0.096867209;0.136140333;926299.2249
ABADA;4502501;Recreações e esportes;0;0;0;0;0;0;0;0.127915708;0.611081979;0.077254483;8188280.721;0.388918021;-0.002531803;4825386.01;0.127915708;0.611081979;0.093628751;8312742.588;0.388918021;-0.001263549;4831521.361
ABAJUR;1800603;Mobiliario e artigos do  lar;0;0;0;0;0;0;0;0.316921708;0.461240217;-0.146627576;11354.93916;0.538759783;-0.054521085;14694.8804;0.316921708;0.461240217;-0.133656315;11527.53423;0.538759783;-0.046622131;14817.648
ABARA;2400724;Sanduíches e salgados;0;0;0;0;0;0;0;0.15153733;0.341247769;0.032066125;150689.3071;0.658752231;0.005468894;283397.3798;0.15153733;0.341247769;0.04775353;152979.7845;0.658752231;0.010537354;284825.9552
ABARA PARA VIAGEM;8500212;Demais alimentos;0;0;0;0;0;0;0;0.134599492;0.341247769;0.06483747;37290.45965;0.658752231;0.028719146;69544.61599;0.134599492;0.341247769;0.081023;37857.27463;0.658752231;0.034221003;69916.55865
ABOBORA;6703901;Legumes e verduras;0;1;1;1;0;0;0;0.066169971;0.903132791;0.133907929;11876235.5;0.096867209;0.122005556;1260437.14;0.066169971;0.903132791;0.15114333;12056754.28;0.096867209;0.136140333;1276315.847
ABOBORA BAIANA;6703404;Legumes e verduras;0;1;1;1;0;0;0;0.066169971;0.903132791;0.133907929;425498.1124;0.096867209;0.122005556;45158.55414;0.066169971;0.903132791;0.15114333;431965.6837;0.096867209;0.136140333;45727.45158
ABOBORA BAIANINHA (ABOBRINHA);6703706;Legumes e verduras;0;1;1;1;0;0;0;0.066169971;0.903132791;0.133907929;43375.31192;0.096867209;0.122005556;4603.466654;0.066169971;0.903132791;0.15114333;44034.61666;0.096867209;0.136140333;4661.460105
ABOBORA CABOCLO;6703809;Legumes e verduras;0;1;1;1;0;0;0;0.066169971;0.903132791;0.133907929;31313.83086;0.096867209;0.122005556;3323.369211;0.066169971;0.903132791;0.15114333;31789.80109;0.096867209;0.136140333;3365.236279
ABOBORA CABOTIA;6706502;Legumes e verduras;0;1;1;1;0;0;0;0.066169971;0.903132791;0.133907929;2177454.858;0.096867209;0.122005556;231095.533;0.066169971;0.903132791;0.15114333;2210552.172;0.096867209;0.136140333;234006.8233
ABOBORA CABOTIAN;6706501;Legumes e verduras;0;1;1;1;0;0;0;0.066169971;0.903132791;0.133907929;1484740.894;0.096867209;0.122005556;157577.0846;0.066169971;0.903132791;0.15114333;1507308.956;0.096867209;0.136140333;159562.2058
ABOBORA CABUTIA;6706503;Legumes e verduras;0;1;1;1;0;0;0;0.066169971;0.903132791;0.133907929;399127.6077;0.096867209;0.122005556;42359.82524;0.066169971;0.903132791;0.15114333;405194.3474;0.096867209;0.136140333;42893.46492
ABOBORA CARNEIRA;6703304;Legumes e verduras;0;1;1;1;0;0;0;0.066169971;0.903132791;0.133907929;99779.54193;0.096867209;0.122005556;10589.70584;0.066169971;0.903132791;0.15114333;101296.191;0.096867209;0.136140333;10723.11261
ABOBORA COMUM;6703902;Legumes e verduras;0;1;1;1;0;0;0;0.066169971;0.903132791;0.133907929;2269108.664;0.096867209;0.122005556;240822.8462;0.066169971;0.903132791;0.15114333;2303599.116;0.096867209;0.136140333;243856.679
ABOBORA DA BAHIA;6703406;Legumes e verduras;0;1;1;1;0;0;0;0.066169971;0.903132791;0.133907929;33341.75297;0.096867209;0.122005556;3538.594679;0.066169971;0.903132791;0.15114333;33848.54761;0.096867209;0.136140333;3583.17311
ABOBORA DAGUA;6703604;Legumes e verduras;0;1;1;1;0;0;0;0.066169971;0.903132791;0.133907929;114967.1282;0.096867209;0.122005556;12201.58005;0.066169971;0.903132791;0.15114333;116714.6285;0.096867209;0.136140333;12355.29285
ABOBORA DE AGUA;6703601;Legumes e verduras;0;1;1;1;0;0;0;0.066169971;0.903132791;0.133907929;245071.4493;0.096867209;0.122005556;26009.68603;0.066169971;0.903132791;0.15114333;248796.5353;0.096867209;0.136140333;26337.35028
ABOBORA DE CABOCLO;6703802;Legumes e verduras;0;1;1;1;0;0;0;0.066169971;0.903132791;0.133907929;117396.6923;0.096867209;0.122005556;12459.43221;0.066169971;0.903132791;0.15114333;119181.1221;0.096867209;0.136140333;12616.39337
ABOBORA DE LEITE;6703810;Legumes e verduras;0;1;1;1;0;0;0;0.066169971;0.903132791;0.133907929;167841.1185;0.096867209;0.122005556;17813.15126;0.066169971;0.903132791;0.15114333;170392.3035;0.096867209;0.136140333;18037.55739
ABOBORA DE PESCOCO;6703801;Legumes e verduras;0;1;1;1;0;0;0;0.066169971;0.903132791;0.133907929;329005.9764;0.096867209;0.122005556;34917.74409;0.066169971;0.903132791;0.15114333;334006.8672;0.096867209;0.136140333;35357.63008
ABOBORA DE PORCO;6703305;Legumes e verduras;0;1;1;1;0;0;0;0.066169971;0.903132791;0.133907929;173028.9006;0.096867209;0.122005556;18363.73594;0.066169971;0.903132791;0.15114333;175658.9399;0.096867209;0.136140333;18595.07821
ABOBORA DO SERTAO;6703803;Legumes e verduras;0;1;1;1;0;0;0;0.066169971;0.903132791;0.133907929;11780.78025;0.096867209;0.122005556;1250.306375;0.066169971;0.903132791;0.15114333;11959.84811;0.096867209;0.136140333;1266.057457
ABOBORA GIGANTE;6703403;Legumes e verduras;0;1;1;1;0;0;0;0.066169971;0.903132791;0.133907929;18773.66561;0.096867209;0.122005556;1992.468521;0.066169971;0.903132791;0.15114333;19059.02533;0.096867209;0.136140333;2017.569198
ABOBORA GOIANINHA;6706701;Legumes e verduras;0;1;1;1;0;0;0;0.066169971;0.903132791;0.133907929;18677.43003;0.096867209;0.122005556;1982.254939;0.066169971;0.903132791;0.15114333;18961.32696;0.096867209;0.136140333;2007.226947
ABOBORA GRANDE;6703402;Legumes e verduras;0;1;1;1;0;0;0;0.066169971;0.903132791;0.133907929;1524080.417;0.096867209;0.122005556;161752.2288;0.066169971;0.903132791;0.15114333;1547246.439;0.096867209;0.136140333;163789.9475
ABOBORA HIBRIDA;6706801;Legumes e verduras;0;1;1;1;0;0;0;0.066169971;0.903132791;0.133907929;102096.0624;0.096867209;0.122005556;10835.56055;0.066169971;0.903132791;0.15114333;103647.9225;0.096867209;0.136140333;10972.06454
ABOBORA JACARE;6703804;Legumes e verduras;0;1;1;1;0;0;0;0.066169971;0.903132791;0.133907929;551179.66;0.096867209;0.122005556;58497.26659;0.066169971;0.903132791;0.15114333;559557.5908;0.096867209;0.136140333;59234.20218
ABOBORA JAPONESA;6703310;Legumes e verduras;0;1;1;1;0;0;0;0.066169971;0.903132791;0.133907929;4852108.869;0.096867209;0.122005556;514959.3257;0.066169971;0.903132791;0.15114333;4925860.924;0.096867209;0.136140333;521446.6691
ABOBORA JAPONESA (ABOBRINHA);6703705;Legumes e verduras;0;1;1;1;0;0;0;0.066169971;0.903132791;0.133907929;307226.8328;0.096867209;0.122005556;32606.30108;0.066169971;0.903132791;0.15114333;311896.6806;0.096867209;0.136140333;33017.06803
ABOBORA KABUTIA;6706505;Legumes e verduras;0;1;1;1;0;0;0;0.066169971;0.903132791;0.133907929;1135594.351;0.096867209;0.122005556;120521.8013;0.066169971;0.903132791;0.15114333;1152855.385;0.096867209;0.136140333;122040.1082
ABOBORA MADURA;6703903;Legumes e verduras;0;1;1;1;0;0;0;0.066169971;0.903132791;0.133907929;893014.0984;0.096867209;0.122005556;94776.50861;0.066169971;0.903132791;0.15114333;906587.9127;0.096867209;0.136140333;95970.48204
ABOBORA MARANHAO;6703407;Legumes e verduras;0;1;1;1;0;0;0;0.066169971;0.903132791;0.133907929;143305.8408;0.096867209;0.122005556;15209.1969;0.066169971;0.903132791;0.15114333;145484.0896;0.096867209;0.136140333;15400.79898
ABOBORA MELAO;6703501;Legumes e verduras;0;1;1;1;0;0;0;0.066169971;0.903132791;0.133907929;46087.1762;0.096867209;0.122005556;4891.279611;0.066169971;0.903132791;0.15114333;46787.70128;0.096867209;0.136140333;4952.898867
ABOBORA MENINA;6703401;Legumes e verduras;0;1;1;1;0;0;0;0.066169971;0.903132791;0.133907929;1055933.278;0.096867209;0.122005556;112067.2894;0.066169971;0.903132791;0.15114333;1071983.463;0.096867209;0.136140333;113479.0882
ABOBORA MOCANGA;6703302;Legumes e verduras;0;1;1;1;0;0;0;0.066169971;0.903132791;0.133907929;114096.3203;0.096867209;0.122005556;12109.16032;0.066169971;0.903132791;0.15114333;115830.5844;0.096867209;0.136140333;12261.70884
ABOBORA MOGANGA;6703301;Legumes e verduras;0;1;1;1;0;0;0;0.066169971;0.903132791;0.133907929;2948576.468;0.096867209;0.122005556;312935.466;0.066169971;0.903132791;0.15114333;2993394.83;0.096867209;0.136140333;316877.7575
ABOBORA MORANGA;6703303;Legumes e verduras;0;1;1;1;0;0;0;0.066169971;0.903132791;0.133907929;5980595.855;0.096867209;0.122005556;634726.8151;0.066169971;0.903132791;0.15114333;6071500.912;0.096867209;0.136140333;642722.9627
ABOBORA MORANGUINHA;6703309;Legumes e verduras;0;1;1;1;0;0;0;0.066169971;0.903132791;0.133907929;67272.56822;0.096867209;0.122005556;7139.707147;0.066169971;0.903132791;0.15114333;68295.11125;0.096867209;0.136140333;7229.651593
ABOBORA NAO ESPECIFICADA;6712801;Hortaliças, Legumes e verduras orgânicos;0;1;1;1;0;0;0;0.066169971;0.903132791;0.133907929;4143.85946;0.096867209;0.122005556;439.7920844;0.066169971;0.903132791;0.15114333;4206.846124;0.096867209;0.136140333;445.3324876
ABOBORA PARA VIAGEM;8510401;Demais alimentos;0;0;0;0;0;0;0;0.134599492;0.341247769;0.06483747;10925.38302;0.658752231;0.028719146;20375.22663;0.134599492;0.341247769;0.081023;11091.44884;0.658752231;0.034221003;20484.19863
ABOBORA PAULISTA;6706401;Legumes e verduras;0;1;1;1;0;0;0;0.066169971;0.903132791;0.133907929;926794.597;0.096867209;0.122005556;98361.6678;0.066169971;0.903132791;0.15114333;940881.8748;0.096867209;0.136140333;99600.80627
ABOBORA SECA;6706901;Legumes e verduras;0;1;1;1;0;0;0;0.066169971;0.903132791;0.133907929;787922.9093;0.096867209;0.122005556;83623.07216;0.066169971;0.903132791;0.15114333;799899.3375;0.096867209;0.136140333;84676.53707
ABOBORA VERDE;6703709;Legumes e verduras;0;1;1;1;0;0;0;0.066169971;0.903132791;0.133907929;600808.4132;0.096867209;0.122005556;63764.41743;0.066169971;0.903132791;0.15114333;609940.7011;0.096867209;0.136140333;64567.70741
ABOBORA VERMELHA;6703405;Legumes e verduras;0;1;1;1;0;0;0;0.066169971;0.903132791;0.133907929;210864.7898;0.096867209;0.122005556;22379.29793;0.066169971;0.903132791;0.15114333;214069.9346;0.096867209;0.136140333;22661.22736
ABOBRINHA;6703701;Legumes e verduras;0;1;1;1;0;0;0;0.066169971;0.903132791;0.133907929;11911214.81;0.096867209;0.122005556;1264149.53;0.066169971;0.903132791;0.15114333;12092265.28;0.096867209;0.136140333;1280075.006
ABOBRINHA BRANCA;6707101;Legumes e verduras;0;1;1;1;0;0;0;0.066169971;0.903132791;0.133907929;33297.68771;0.096867209;0.122005556;3533.917988;0.066169971;0.903132791;0.15114333;33803.81256;0.096867209;0.136140333;3578.437503
ABOBRINHA BRASILEIRA;6703704;Legumes e verduras;0;1;1;1;0;0;0;0.066169971;0.903132791;0.133907929;712971.8112;0.096867209;0.122005556;75668.43471;0.066169971;0.903132791;0.15114333;723808.9827;0.096867209;0.136140333;76621.68886
ABOBRINHA CAIPIRA;6707001;Legumes e verduras;0;1;1;1;0;0;0;0.066169971;0.903132791;0.133907929;16236.15962;0.096867209;0.122005556;1723.16039;0.066169971;0.903132791;0.15114333;16482.94925;0.096867209;0.136140333;1744.868382
ABOBRINHA ITALIANA;6703703;Legumes e verduras;0;1;1;1;0;0;0;0.066169971;0.903132791;0.133907929;4905459.348;0.096867209;0.122005556;520621.4671;0.066169971;0.903132791;0.15114333;4980022.33;0.096867209;0.136140333;527180.1408
ABOBRINHA ORGANICA;6711001;Hortaliças, Legumes e verduras orgânicos;0;1;1;1;0;0;0;0.066169971;0.903132791;0.133907929;39664.77085;0.096867209;0.122005556;4209.663098;0.066169971;0.903132791;0.15114333;40267.67537;0.096867209;0.136140333;4262.695499
ABOBRINHA VERDE;6703702;Legumes e verduras;0;1;1;1;0;0;0;0.066169971;0.903132791;0.133907929;2130312.693;0.096867209;0.122005556;226092.2864;0.066169971;0.903132791;0.15114333;2162693.446;0.096867209;0.136140333;228940.5468
ABRIDOR DE GARRAFA, LATA, ETC.;3904601;Mobiliario e artigos do  lar;0;0;0;0;0;0;0;0.353308082;0.461240217;-0.194073123;26331.1328;0.538759783;-0.042198943;36552.51106;0.353308082;0.461240217;-0.181823035;26731.36602;0.538759783;-0.034141323;36860.01359
ABRIGO MASCULINO;3401308;Roupa de homem;0;0;0;0;0;0;0;0.304819619;0.43983186;-0.137021014;42865.01398;0.56016814;-0.006594556;62843.59249;0.304819619;0.43983186;-0.123903733;43516.5622;0.56016814;0.001224182;63338.21186
ABSORVENTE FEMININO;3001801;Instrumentos e produtos de uso pessoal;0;0;0;0;0;0;0;0.307328565;0.659436734;-0.139542304;133807196;0.340563266;-0.001820069;80164750.98;0.307328565;0.659436734;-0.126463347;135841065.4;0.340563266;0.007226018;80891250.54
ABSORVENTE GERIATRICO;3003402;Material de tratamento;0;0;0;0;0;0;0;0.307328565;0.659436734;-0.139542304;481171.6496;0.340563266;-0.001820069;288273.0272;0.307328565;0.659436734;-0.126463347;488485.4587;0.340563266;0.007226018;290885.5249
ACADEMIA;4902401;Outros cursos e atividades;0;0;0;0;0;0;0;0.095314787;0.308616896;0.129580592;136720324.3;0.161063658;0.005797726;63533731.92;0.095314787;0.308616896;0.146750217;138798473.2;0.161063658;0.007458972;63638668.68
ACADEMIA DE GINASTICA;4902402;Outros cursos e atividades;0;0;0;0;0;0;0;0.095314787;0.308616896;0.129580592;1667467.394;0.161063658;0.005797726;774869.6247;0.095314787;0.308616896;0.146750217;1692812.898;0.161063658;0.007458972;776149.4536
ACADEMIA DE MUSCULACAO;4902403;Outros cursos e atividades;0;0;0;0;0;0;0;0.095314787;0.308616896;0.129580592;4088916.005;0.161063658;0.005797726;1900113.202;0.095314787;0.308616896;0.146750217;4151067.528;0.161063658;0.007458972;1903251.562
ACAFRAO;6401601;Outros in natura;0;0;0;0;0;0;0;0.066169971;0.903132791;0.133907929;1548804.592;0.096867209;0.122005556;164376.231;0.066169971;0.903132791;0.15114333;1572346.422;0.096867209;0.136140333;166447.0063
ACAFRAO EM PO;7001701;Temperos;0;0;1;0;1;0;0;0.301670591;0.903132791;-0.129792374;384202.403;0.096867209;0.058449145;50122.45839;0.301670591;0.903132791;-0.116565218;390042.2795;0.096867209;0.069646513;50652.70549
ACAI;2404103;Outras bebidas não alcoólicas;0;0;0;0;0;0;0;0.15153733;0.341247769;0.032066125;1434951.682;0.658752231;0.005468894;2698675.538;0.15153733;0.341247769;0.04775353;1456762.947;0.658752231;0.010537354;2712279.268
ACAI;6601706;Demais alimentos;0;0;0;0;0;0;0;0.234259376;0.903132791;-0.070195498;79144086.71;0.096867209;0.103131477;10071155;0.234259376;0.903132791;-0.05606247;80347076.83;0.096867209;0.117028483;10198029.17
ACAI (EMULSAO);2404101;Outras bebidas não alcoólicas;0;0;0;0;0;0;0;0.15153733;0.341247769;0.032066125;3182391.259;0.658752231;0.005468894;5985038.766;0.15153733;0.341247769;0.04775353;3230763.606;0.658752231;0.010537354;6015208.696
ACAI COM COMPLEMENTOS PARA VIAGEM;8507802;Demais alimentos;0;0;0;0;0;0;0;0.134599492;0.341247769;0.06483747;288109.4352;0.658752231;0.028719146;537307.9393;0.134599492;0.341247769;0.081023;292488.6986;0.658752231;0.034221003;540181.6017
ACAI COM GRANOLA;2404102;Outras bebidas não alcoólicas;0;0;0;0;0;0;0;0.15153733;0.341247769;0.032066125;8755300.186;0.658752231;0.005468894;16465860.66;0.15153733;0.341247769;0.04775353;8888380.749;0.658752231;0.010537354;16548863.27
ACAI COM GRANOLA VIAGEM;8507801;Demais alimentos;0;0;0;0;0;0;0;0.134599492;0.341247769;0.06483747;264439.4029;0.658752231;0.028719146;493164.6566;0.134599492;0.341247769;0.081023;268458.8818;0.658752231;0.034221003;495802.2292
ACAI EM EMULSAO;6601701;Demais alimentos;0;0;0;0;0;0;0;0.281445614;0.903132791;-0.109531079;1151544.823;0.096867209;0.037576966;143915.5025;0.281445614;0.903132791;-0.095995952;1169048.304;0.096867209;0.048463966;145425.5669
ACAI EM PAPA;6601714;Demais alimentos;0;0;0;0;0;0;0;0.281445614;0.903132791;-0.109531079;328450.9325;0.096867209;0.037576966;41048.49423;0.281445614;0.903132791;-0.095995952;333443.3867;0.096867209;0.048463966;41479.20438
ACAI EM POLPA;6601717;Demais alimentos;0;0;0;0;0;0;0;0.281445614;0.903132791;-0.109531079;299810.7395;0.096867209;0.037576966;37469.15656;0.281445614;0.903132791;-0.095995952;304367.8628;0.096867209;0.048463966;37862.30974
ACAI FRUTA;6601711;Demais alimentos;0;0;0;0;0;0;0;0.234259376;0.903132791;-0.070195498;2116282.343;0.096867209;0.103131477;269298.799;0.234259376;0.903132791;-0.05606247;2148449.835;0.096867209;0.117028483;272691.3655
ACARAJE;2400723;Sanduíches e salgados;0;0;0;0;0;0;0;0.134599492;0.341247769;0.06483747;1684525.401;0.658752231;0.028719146;3141545.404;0.134599492;0.341247769;0.081023;1710130.187;0.658752231;0.034221003;3158347.204
ACARAJE E REFRIGERANTE;2405815;Lanches;0;0;0;0;0;0;0;0.127343709;0.341247769;0.058084568;85227.2953;0.658752231;-0.091873907;141207.1733;0.127343709;0.341247769;0.074167454;86522.75019;0.658752231;-0.088078639;141797.3105
ACARAJE PARA VIAGEM;8500209;Demais alimentos;0;0;0;0;0;0;0;0.134599492;0.341247769;0.06483747;352257.9622;0.658752231;0.028719146;656941.3449;0.134599492;0.341247769;0.081023;357612.2833;0.658752231;0.034221003;660454.8377
ACELGA;6701501;Hortaliças;0;1;1;1;0;0;0;0.066169971;0.903132791;0.133907929;2848998.223;0.096867209;0.122005556;302367.1239;0.066169971;0.903132791;0.15114333;2892302.996;0.096867209;0.136140333;306176.2779
ACELGA ORGANICA;6711101;Hortaliças, Legumes e verduras orgânicos;0;1;1;1;0;0;0;0.066169971;0.903132791;0.133907929;102737.4737;0.096867209;0.122005556;10903.63419;0.066169971;0.903132791;0.15114333;104299.0833;0.096867209;0.136140333;11040.99576
ACEM;7100801;Carne bovina;0;0;1;0;1;0;0;0.14410821;0.903132791;0.066601593;100851578;0.096867209;0.058449145;10734347.3;0.14410821;0.903132791;0.082813937;102384522;0.096867209;0.069646513;10847906.3
ACEM COM OSSO;7100804;Carne bovina;0;0;1;0;1;0;0;0.14410821;0.903132791;0.066601593;9182345.928;0.096867209;0.058449145;977342.0714;0.14410821;0.903132791;0.082813937;9321917.586;0.096867209;0.069646513;987681.4047
ACENDEDOR DE FOGAO;3902801;Eletrodomesticos;0;0;0;0;0;0;0;0.353308082;0.461240217;-0.194073123;1099.563905;0.538759783;-0.042198943;1526.399266;0.353308082;0.461240217;-0.181823035;1116.277276;0.538759783;-0.034141323;1539.240289
ACEROLA;6807701;Outras frutas;0;1;1;1;0;0;0;0.066169971;0.903132791;0.133907929;6271521.877;0.096867209;0.122005556;665603.0943;0.066169971;0.903132791;0.15114333;6366849.009;0.096867209;0.136140333;673988.2144
ACEROLA ORGANICA;2407702;Outras;0;0;0;0;0;0;0;0.124288281;0.341247769;0.066934161;1215.403972;0.658752231;0.050673931;2310.4856;0.124288281;0.341247769;0.083151561;1233.878112;0.658752231;0.057502263;2325.50145
ACEROLA ORGANICA;6808901;Outras frutas;0;1;1;1;0;0;0;0.066169971;0.903132791;0.133907929;156107.555;0.096867209;0.122005556;16567.85605;0.066169971;0.903132791;0.15114333;158480.3898;0.096867209;0.136140333;16776.57422
ACESSO A INTERNET (DISCADA, BANDA LARGA, VIA SATELITE, VIA RADIO, ETC.);0600501;Outros;0;0;0;0;0;0;0;0.360745141;0.977181476;-0.2017624;907219871;0.022818524;-0.002558244;26471603.54;0.360745141;0.977181476;-0.189629189;921009613;0.022818524;-0.001276745;26505613.89
ACESSO A INTERNET (EM LAN-HOUSE, SALA DE INTERNET, ETC.);2500401;Comunicação;0;0;0;0;0;0;0;0.360745141;0.977181476;-0.2017624;16686864.91;0.022818524;-0.002558244;486902.9947;0.360745141;0.977181476;-0.189629189;16940505.25;0.022818524;-0.001276745;487528.561
ACESSO A INTERNET DE OUTROS IMOVEIS;4701101;Imóveis de uso ocasional;0;0;0;0;0;0;0;;;;;;;;;;;;;;
ACESSORIO DE LANTERNAGEM;3305501;Manutencao e acessorios;0;0;0;0;0;0;0;0.495504114;0.880669616;-0.382816118;1102048.226;0.119330384;-0.051213511;229558.0578;0.495504114;0.880669616;-0.373434923;1118799.359;0.119330384;-0.041211227;231978.1017
ACESSORIO DE VEICULO NAO ESPECIFICADO;3304401;Manutencao e acessorios;0;0;0;0;0;0;0;0.495504114;0.880669616;-0.382816118;252859.6078;0.119330384;-0.051213511;52670.98037;0.495504114;0.880669616;-0.373434923;256703.0738;0.119330384;-0.041211227;53226.24768
ACESSORIOS DE INSTRUMENTOS MUSICAIS (CORDAS, PELES, ETC.);4301901;Outras;0;0;0;0;0;0;0;0.30443358;0.868207664;-0.136044783;14554555.57;0.131792336;-0.023266554;2497757.759;0.30443358;0.868207664;-0.122912664;14775784.81;0.131792336;-0.014304368;2520676.365
ACESSORIOS DE MAQUINA FOTOGRAFICA (CARTAO DE MEMORIA, FILME, ETC.);2802301;Outras;0;0;0;0;0;0;0;0.408765488;0.868207664;-0.287180972;5614838.958;0.131792336;-0.042972066;1144324.443;0.408765488;0.868207664;-0.276346123;5700184.51;0.131792336;-0.034328306;1154659.842
ACESSORIOS DE MICROCOMPUTADOR (MONITOR, TECLADO, MOUSE, LEITOR OU GRAVADOR DE DVD, PROCESSADOR, ETC.);1501101;Eletrodomesticos;0;0;0;0;0;0;0;0.408765488;0.868207664;-0.287180972;7110859.699;0.131792336;-0.042972066;1449218.869;0.408765488;0.868207664;-0.276346123;7218944.766;0.131792336;-0.034328306;1462308.038
ACESSORIOS DE TELEFONE CELULAR (CAPA, BATERIA, CARREGADOR, ETC.);4400601;Celular e acessórios;0;0;0;0;0;0;0;0.328822472;0.522837666;-0.164776311;20260884.6;0.477162334;0.004136274;22230413.62;0.328822472;0.522837666;-0.152080911;20568850.05;0.477162334;0.013076601;22428342.11
ACESSORIOS DE VIDEO GAME;4305301;Brinquedos e jogos;0;0;0;0;0;0;0;0.408765488;0.868207664;-0.287180972;292277.9421;0.131792336;-0.042972066;59567.29942;0.408765488;0.868207664;-0.276346123;296720.5669;0.131792336;-0.034328306;60105.30402
ACESSORIOS PARA SKATE;4300631;Outras;0;0;0;0;0;0;0;0.359588225;0.514879227;-0.205791004;7213.473749;0.485120773;-0.021405497;8374.462212;0.359588225;0.514879227;-0.193719027;7323.11855;0.485120773;-0.013160183;8445.022663
ACETONA;3001404;Instrumentos e produtos de uso pessoal;0;0;0;0;0;0;0;0.307328565;0.659436734;-0.139542304;61607.2724;0.340563266;-0.001820069;36909.31278;0.307328565;0.659436734;-0.126463347;62543.70294;0.340563266;0.007226018;37243.80642
ACHOCOLATADO EM CAPSULA;6916501;Ultraprocessados;0;0;0;0;0;1;0;0.281445614;0.903132791;-0.109531079;118007.3986;0.096867209;0.037576966;14748.09642;0.281445614;0.903132791;-0.095995952;119801.111;0.096867209;0.048463966;14902.84399
ACHOCOLATADO EM LEITE;7903104;Bebidas adocadas;0;0;0;0;0;1;0;0.212521688;0.903132791;-0.024286595;1642257.58;0.096867209;0.032967755;186479.4347;0.212521688;0.903132791;-0.009455752;1667219.895;0.096867209;0.043795404;188434.1267
ACHOCOLATADO EM LEITE LIGHT;7906704;Bebidas adocadas;0;0;0;0;0;1;0;0.212521688;0.903132791;-0.024286595;21062.1821;0.096867209;0.032967755;2391.624712;0.212521688;0.903132791;-0.009455752;21382.32727;0.096867209;0.043795404;2416.693909
ACHOCOLATADO EM PO;6900821;Ultraprocessados;0;0;0;0;0;1;0;0.281445614;0.903132791;-0.109531079;52702849.46;0.096867209;0.037576966;6586592.998;0.281445614;0.903132791;-0.095995952;53503932.77;0.096867209;0.048463966;6655704.24
ACHOCOLATADO EM PO DIET;6910321;Doces e biscoitos;0;0;0;0;0;1;0;0.281445614;0.903132791;-0.109531079;160867.401;0.096867209;0.037576966;20104.56944;0.281445614;0.903132791;-0.095995952;163312.5854;0.096867209;0.048463966;20315.52096
ACHOCOLATADO EM PO LIGHT;6910221;Demais alimentos;0;0;0;0;0;0;0;0.281445614;0.903132791;-0.109531079;304676.3146;0.096867209;0.037576966;38077.23683;0.281445614;0.903132791;-0.095995952;309307.3946;0.096867209;0.048463966;38476.77042
ACHOCOLATADO INDUSTRIALIZADO;2404404;Refrigerante e outras bebidas adoçadas;0;0;0;0;0;1;0;0.15153733;0.341247769;0.032066125;257212.6784;0.658752231;0.005468894;483733.0566;0.15153733;0.341247769;0.04775353;261122.3111;0.658752231;0.010537354;486171.5024
ACHOCOLATADO LIQUIDO;7903113;Bebidas adocadas;0;0;0;0;0;1;0;0.212521688;0.903132791;-0.024286595;5076425.375;0.096867209;0.032967755;576431.4598;0.212521688;0.903132791;-0.009455752;5153587.04;0.096867209;0.043795404;582473.6594
